pdb,weight,seq_len
3I4O_A,15.68558255214004,79
1CID_A,27.477789212380245,177
3A57_A,1.54,165
2ASF_A,30.750999983740368,137
2AAN_A,36.735633926747475,139
6HA4_A,1.4551632210855248,55
1JMX_A,36.32,494
1DQG_A,32.5484869079962,135
3BO5_A,51.882841094142094,290
1GVP_A,4.732599708405519,87
3G7M_A,17.08369983346699,151
1NKG_A,21.552614690565964,508
3VGI_A,30.065927559282116,319
2GZV_A,29.048819253112512,114
4B0H_A,93.484373025656,144
2W7Z_A,15.041462694831244,214
3BHD_A,104.2286716791498,234
2OFC_A,0.0,142
3H7T_A,111.04526644571574,235
2H1E_A,52.53708690058861,177
4X5P_A,7.577413806834096,160
2WJ5_A,28.114320194520086,101
4XEZ_A,32.69581624611932,200
3BA3_A,90.16115294293878,145
2R3A_A,44.11836352359412,300
3ITQ_A,77.11347482768495,216
1WCU_A,2.107178207935912,153
1JO8_A,17.428975873527396,58
3EQN_A,137.84387690427167,758
2Q9K_A,37.89468960157874,151
2GUD_A,0.0,122
3D30_A,24.34577581429682,208
2DC4_A,49.95947157446725,165
1X8Q_A,33.62722706379461,184
3A0F_A,159.91280717941262,763
1OK0_A,3.7,74
2XFD_A,3.446882649583534,112
1TXJ_A,12.362192362198543,171
2Q03_A,26.129676614914317,138
3BS2_A,8.387061463945521,148
2EEN_A,66.27820154470095,183
1NOA_A,6.189264899808377,113
1HNF_A,26.969069320241665,182
2VG9_A,15.94617822551849,217
5ONN_A,34.94388358497092,138
5UUI_A,17.4714624459431,158
2C4X_A,49.99310752493788,260
1NZI_A,90.19,159
1R75_A,9.9,141
3ISY_A,14.363495396316315,120
1KDJ_A,28.614590683775297,102
1F2Q_A,20.316426851196052,176
4B97_A,17.01683578107281,151
2J8H_A,57.11869221191956,197
3L4R_A,33.04796362864133,170
2QGO_A,26.244770907744652,141
1K12_A,45.92883625784568,158
2QGG_A,35.87344421713644,182
1QHQ_A,44.15301688446668,140
2QN4_A,26.983194770078654,200
3C0T_A,14.16700391755434,207
2BSY_A,12.198458919060226,278
2AC1_A,90.33738262757008,541
1EP0_A,40.08134229289234,185
2O30_A,43.61881933294389,131
3EBR_A,47.12554933366825,159
2HHZ_A,42.54825025779556,150
2QDL_A,97.11848433743188,165
4NI6_A,16.444597897181918,150
1GQ8_A,0.0,319
3FDR_A,26.640600593830463,94
2XBT_A,17.451670407155873,160
4KDW_A,27.615452196189004,123
1RMG_A,84.61073690732164,422
2WLG_A,165.00709075673083,215
3KQ0_A,1.74,192
2OSE_A,47.2045019039498,234
1WQ8_A,2.168985938174796,110
2Z4I_A,21.771173601806584,233
6KJW_A,28.31645281457407,142
2X9K_A,13.33241163480936,280
2ZHN_A,29.288564321250025,148
1RWR_A,35.391634604804565,301
2VEC_A,36.08930589523716,256
1UTI_A,21.119595166574573,58
1P9H_A,22.499951111058,226
2Z14_A,16.723836282384493,133
1UCT_A,42.48529157249601,218
2P84_A,13.233332913518046,145
1SKZ_A,6.152722974423601,119
1WV3_A,18.546980886386873,238
5LW3_A,117.92550105893126,387
2QAS_A,6.893010953132165,157
1FIW_A,87.89380182925302,290
3CIH_A,83.65805400557677,739
1UOY_A,0.9050966799187808,64
1K5C_A,62.65357611501518,335
2B0R_A,27.51169205992245,202
1EER_B,160.05910908161397,227
4EQP_A,36.62327948177224,143
2WRA_A,4.9889578069973695,128
3I18_A,33.29867564934077,100
1LUZ_A,48.949741572351535,88
3DQY_A,27.938682860865143,106
1OLR_A,0.0,224
1S98_A,48.84795185061499,107
1F94_A,5.774045375644358,63
2W3J_A,38.2129323658889,145
3ZUC_A,16.47860430983158,153
2P4O_A,81.55632654797542,306
2RG4_A,70.67113696552504,216
3KT9_A,29.82519069511543,102
1CD9_B,217.6292719282036,215
2ZZJ_A,36.79390710430193,238
2VBU_A,10.48,136
5GTQ_A,80.93395764448938,311
1O5L_A,54.01607260806732,213
5HBS_A,20.23870549219984,140
3JSC_A,18.515809461106475,105
1C1L_A,1.35,137
2QPZ_A,26.72051084841006,103
1GWM_A,2.1496046148071044,153
4B9C_A,15.874507866387544,150
1O65_A,123.88,246
2F4P_A,148.31067931878675,147
